2018-11-17 14:48:32,283 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 14:48:32,284 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 14:48:32,284 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 14:48:32,335 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 14:48:32,336 DEBUG (0.001) SHOW FULL TABLES; args=None
2018-11-17 14:48:32,339 DEBUG (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-17 14:48:36,779 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 14:48:36,780 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 14:48:36,780 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 14:48:36,782 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 14:48:36,783 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '1b3870ye0pauvnnizaoc7dp66x36xign' AND `django_session`.`expire_date` > '2018-11-17 06:48:36'); args=('1b3870ye0pauvnnizaoc7dp66x36xign', '2018-11-17 06:48:36')
2018-11-17 14:48:36,786 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-17 14:48:36,789 DEBUG (0.002) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users` LIMIT 21; args=()
