2018-11-16 18:55:16,692 DEBUG (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:55:16,695 DEBUG (0.002) SELECT VERSION(); args=None
2018-11-16 18:55:16,774 DEBUG (0.023) SHOW FULL TABLES; args=None
2018-11-16 18:55:16,789 DEBUG (0.012) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-16 18:55:28,045 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:55:28,045 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 18:55:28,053 DEBUG (0.005) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:55:28.041644'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:55:28.041644')
2018-11-16 18:55:28,065 DEBUG (0.010) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:55:28,155 DEBUG (0.017) SELECT `django_admin_log`.`id`, `django_admin_log`.`action_time`, `django_admin_log`.`user_id`, `django_admin_log`.`content_type_id`, `django_admin_log`.`object_id`, `django_admin_log`.`object_repr`, `django_admin_log`.`action_flag`, `django_admin_log`.`change_message`, `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined`, `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_admin_log` INNER JOIN `auth_user` ON (`django_admin_log`.`user_id` = `auth_user`.`id`) LEFT OUTER JOIN `django_content_type` ON (`django_admin_log`.`content_type_id` = `django_content_type`.`id`) WHERE `django_admin_log`.`user_id` = 1 ORDER BY `django_admin_log`.`action_time` DESC LIMIT 10; args=(1,)
2018-11-16 18:55:28,879 DEBUG (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:55:28,880 DEBUG (0.001) SELECT VERSION(); args=None
2018-11-16 18:55:28,885 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:55:28.874274'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:55:28.874274')
2018-11-16 18:55:28,888 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:55:28,915 DEBUG (0.003) SELECT `django_admin_log`.`id`, `django_admin_log`.`action_time`, `django_admin_log`.`user_id`, `django_admin_log`.`content_type_id`, `django_admin_log`.`object_id`, `django_admin_log`.`object_repr`, `django_admin_log`.`action_flag`, `django_admin_log`.`change_message`, `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined`, `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_admin_log` INNER JOIN `auth_user` ON (`django_admin_log`.`user_id` = `auth_user`.`id`) LEFT OUTER JOIN `django_content_type` ON (`django_admin_log`.`content_type_id` = `django_content_type`.`id`) WHERE `django_admin_log`.`user_id` = 1 ORDER BY `django_admin_log`.`action_time` DESC LIMIT 10; args=(1,)
2018-11-16 18:55:37,666 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:55:37,667 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 18:55:37,669 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:55:37.664775'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:55:37.664775')
2018-11-16 18:55:37,671 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:55:37,677 DEBUG (0.004) SELECT `users`.`id`, `users`.`username`, `users`.`gender`, `users`.`id_card`, `users`.`age`, `users`.`address`, `users`.`remark`, `users`.`create_time`, `users`.`update_time` FROM `users`; args=()
2018-11-16 18:55:54,083 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:55:54,084 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 18:55:54,085 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:55:54.081121'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:55:54.081121')
2018-11-16 18:55:54,087 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
