2018-11-15 16:32:25,181 DEBUG (0.002) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-15 16:32:25,183 DEBUG (0.001) SELECT VERSION(); args=None
2018-11-15 16:32:25,289 DEBUG (0.004) SHOW FULL TABLES; args=None
2018-11-15 16:32:25,297 DEBUG (0.004) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-15 16:32:35,690 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-15 16:32:35,694 DEBUG (0.003) SELECT VERSION(); args=None
2018-11-15 16:32:35,698 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dm3neianqfku0beusrgj7br2c9p2zez3' AND `django_session`.`expire_date` > '2018-11-15 08:32:35.684807'); args=('dm3neianqfku0beusrgj7br2c9p2zez3', '2018-11-15 08:32:35.684807')
2018-11-15 16:32:35,701 DEBUG (0.002) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 3; args=(3,)
2018-11-15 16:32:35,713 DEBUG (0.008) SELECT `user`.`id`, `user`.`username`, `user`.`sex`, `user`.`age`, `user`.`city`, `user`.`create_time`, `user`.`update_time` FROM `user`; args=()
2018-11-15 16:32:37,490 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-15 16:32:37,492 DEBUG (0.001) SELECT VERSION(); args=None
2018-11-15 16:32:37,496 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dm3neianqfku0beusrgj7br2c9p2zez3' AND `django_session`.`expire_date` > '2018-11-15 08:32:37.484732'); args=('dm3neianqfku0beusrgj7br2c9p2zez3', '2018-11-15 08:32:37.484732')
