2018-11-15 23:11:36,286 DEBUG (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-15 23:11:36,287 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-15 23:11:36,457 DEBUG (0.001) SHOW FULL TABLES; args=None
2018-11-15 23:11:36,461 DEBUG (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-15 23:11:42,931 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-15 23:11:42,931 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-15 23:11:42,934 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'pbv563v9dpn9b5dv7z7x335f5pi52tq6' AND `django_session`.`expire_date` > '2018-11-15 15:11:42'); args=('pbv563v9dpn9b5dv7z7x335f5pi52tq6', '2018-11-15 15:11:42')
2018-11-15 23:11:42,937 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-15 23:11:42,953 DEBUG (0.006) SELECT `users`.`id`, `users`.`username`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`create_time`, `users`.`update_time` FROM `users` ORDER BY `users`.`id` ASC, `users`.`username` ASC; args=()
2018-11-15 23:11:44,532 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-15 23:11:44,533 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-15 23:11:44,535 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'pbv563v9dpn9b5dv7z7x335f5pi52tq6' AND `django_session`.`expire_date` > '2018-11-15 15:11:44'); args=('pbv563v9dpn9b5dv7z7x335f5pi52tq6', '2018-11-15 15:11:44')
