2018-11-14 17:11:25,811 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-14 17:11:25,811 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-14 17:11:25,846 DEBUG (0.001) SHOW FULL TABLES; args=None
2018-11-14 17:11:25,848 DEBUG (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-14 17:11:39,306 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-14 17:11:39,306 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-14 17:11:39,308 DEBUG (0.000) SELECT `account_userinfo`.`id`, `account_userinfo`.`username`, `account_userinfo`.`password` FROM `account_userinfo` WHERE (`account_userinfo`.`username` = 'root' AND `account_userinfo`.`password` = '123456'); args=('root', '123456')
2018-11-14 17:11:42,268 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-14 17:11:42,269 DEBUG (0.001) SELECT `users_users`.`id`, `users_users`.`username`, `users_users`.`sex`, `users_users`.`city`, `users_users`.`age`, `users_users`.`create_time`, `users_users`.`update_time` FROM `users_users` ORDER BY `users_users`.`id` ASC, `users_users`.`username` ASC; args=()
2018-11-14 17:12:17,487 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-14 17:12:17,488 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-14 17:12:17,489 DEBUG (0.000) SELECT `users_users`.`id`, `users_users`.`username`, `users_users`.`sex`, `users_users`.`city`, `users_users`.`age`, `users_users`.`create_time`, `users_users`.`update_time` FROM `users_users` WHERE `users_users`.`id` = 16; args=(16,)
2018-11-14 17:12:22,548 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-14 17:12:22,549 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-14 17:12:22,550 DEBUG (0.000) UPDATE `users_users` SET `username` = 'wu', `sex` = '0', `age` = 8, `city` = 'guangzhou' WHERE `users_users`.`id` = 16; args=('wu', '0', 8, 'guangzhou', 16)
2018-11-14 17:12:22,647 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-14 17:12:22,648 DEBUG (0.001) SELECT `users_users`.`id`, `users_users`.`username`, `users_users`.`sex`, `users_users`.`city`, `users_users`.`age`, `users_users`.`create_time`, `users_users`.`update_time` FROM `users_users` ORDER BY `users_users`.`id` ASC, `users_users`.`username` ASC; args=()
2018-11-14 17:12:28,894 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-14 17:12:28,894 DEBUG (0.000) SELECT VERSION(); args=None
